userid,2157-03,2157-04,2157-05,2157-06,2157-07,2157-08,2157-09,2157-10,2157-11,2157-12,2158-01,2158-02,2158-03,2158-06,2158-08
21342,,,,,,,,,16.758128,35.269635,53.764609,53.184073,65.966047,,
21343,,,,,,,,,17.980733,18.662944,0.0,,,,
21344,,,,,,,,0.0,0.0,0.0,0.0,,,,
21347,,,,,,,75.52964,76.309204,,,,,,,
21348,,,,,,21.357565,21.358255,21.357565,21.367515,21.357565,19.975263,21.357565,,,
21349,,,,,,,20.53344,19.059136,,,,,,,
21350,,,,,,,19.780422,17.323064,,,,,,,
21351,,,,,,38.894009,17.47138,36.389712,37.908607,75.092889,68.466652,57.620194,15.553907,,
21352,,,,,,0.0,0.0,19.521484,19.259255,,,,,,
21353,,,,,,34.986474,70.695444,54.147912,54.870283,76.210551,79.16432,,,,
21354,,,,,,,,38.844966,20.489151,,,,,,
21355,,,,,,,21.3816,21.379333,,,,,,,
21356,,,,,,19.973105,19.975241,20.307669,,,,,,,
21357,,,,,,17.913544,20.697686,40.974852,38.428803,39.368157,,,,,
21358,,,,,,19.865721,36.246521,33.894445,,,,,,,
21359,,,,,,60.231182,61.071562,60.388605,81.455274,,,,,,
21360,,,,,,,,17.692207,,21.595418,,,,,
21361,,,,,,35.365506,34.562226,35.506885,32.939421,36.16745,33.419831,35.556862,14.152751,,
21362,,,,,,20.091066,20.066459,20.355897,,,,,,,
21364,,,,,,,,,0.0,0.0,0.0,,,,
21365,,,,,,19.640787,19.763722,20.189516,20.996295,,,,,,
21366,,,,,,,,,,,22.298828,0.0,21.358387,,
21367,,,,,,87.089592,85.88005,87.776039,107.082623,63.963785,-1.92053,,,,
21368,,,,,,,,,21.355795,,,,,,
21369,,,,,,74.717201,75.245384,76.214061,76.428759,75.473802,0.0,,,,
21370,,,,,,37.056218,60.424136,36.833208,,,,,,,
21371,,,,,,,,,19.724193,,,,,,
21372,,,,,,,,,,12.152217,,,,,
21373,,,,,,37.332947,39.09302,39.512002,,,,,,,
21374,,,,,,75.350132,56.083325,,,,,,,,
21375,,,,,,,20.127527,36.606161,17.762139,,,18.915775,17.31141,,
21376,,,,,,19.622031,20.590137,36.450307,39.966388,,,,,,
21377,,,,,,,,22.745885,,,,,,,
21378,,,,,,21.172027,40.401394,41.477993,18.065191,,,,,,
21379,,,,,,,14.94755,15.05876,,,,,,,
21380,,,,,,35.667483,38.063822,36.296902,,,,,,,
21381,,,,,,57.197899,72.781426,68.036088,109.203691,88.626172,,,,,
21382,,,,,,,,,,19.97241,0.0,0.0,,,
21383,,,,,,18.418752,17.073318,16.433635,,,,,,,
21384,,,,,,92.006036,19.550944,40.666533,0.0,38.64776,37.108601,,,,
21385,,,,,,,,20.06487,,,,,,,
21386,,,,,,,21.037023,,22.385428,,,,,,
21387,,,,,,19.07916,16.79224,36.383332,,,,,,,
21388,,,,,,,20.334414,20.177772,19.494592,19.915379,20.317426,,,,
21389,,,,,,16.734129,20.3021,19.475005,,,,,,,
21391,,,,,,42.057645,,,,,,,,,
21392,,,,,,18.222341,35.823238,36.331499,17.444266,,,,,,
21393,,,,,,,35.958067,41.259545,79.39357,,,,,,
21394,,,,,,59.63954,19.013189,19.348,19.267511,19.158091,,,,,
21395,,,,,,20.351105,20.351105,20.547806,,19.632242,,,,,
21396,,,,,,35.834343,54.640808,56.604966,,,,,,,
21397,,,,,,57.625429,,,41.055018,62.4142,58.775514,,,,
21398,,,,,,32.833513,36.642699,35.697321,36.890683,37.941449,34.354714,33.577185,33.727883,,
21399,,,,,,,0.0,0.0,0.0,0.0,,,,,
21400,,,,,,19.290084,19.193001,19.568163,19.422501,18.538254,19.618699,0.0,,,
21401,,,,,,80.745799,83.374943,74.498596,79.969051,77.910895,81.890167,38.740537,,,
21402,,,,,,,40.552924,78.684606,,,,,,,
21403,,,,,,14.702124,18.99841,19.529038,18.576944,19.881346,17.340181,,,,
21405,,,,,,0.0,0.0,0.0,,,,,,,
21406,,,,,,0.0,19.436726,16.487517,17.954631,15.221999,,,,,
21407,,,,,,,,20.440947,18.390974,16.265937,,,,,
21408,,,,,,101.760497,122.053152,117.909933,98.221176,117.91636,137.62043,118.614186,,,
21410,,,,,,,,,39.340166,38.244565,,,,,
21411,,,,,,16.437684,18.286009,19.28579,17.911239,17.234111,18.440274,,,,
21412,,,,,,20.379846,20.752522,38.44942,57.397183,57.763869,59.113918,58.082028,40.901801,,
21413,,,,,,73.553421,56.654963,78.450073,59.365544,74.796214,78.31847,54.640684,56.500453,,
21414,,,,,,37.312965,38.979061,37.968415,39.81927,39.801936,21.88981,,,,
21415,,,,,,39.852381,39.94715,40.282851,20.218802,39.190806,39.174574,39.913206,21.101858,,
21416,,,,,,,,,,,19.492041,19.460445,,,
21417,,,,,,36.273444,37.087525,36.299959,36.464192,17.776499,56.332438,53.110969,,,
21418,,,,,,,,15.896611,,,,,,,
21419,,,,,,0.0,19.82091,19.877296,,,,,,,
21420,,,,,,,,78.325785,,,,,,,
21421,,,,,,,,,21.926756,,,,,,
21422,,,,,,,,,,17.376031,,,,,
21423,,,,,,,,50.778914,36.666836,58.002753,37.728703,18.85238,,,
21424,,,,,,19.908101,20.047105,20.159561,20.267504,20.62258,20.142236,20.452009,,,
21425,,,,,,0.0,0.0,0.0,,,,,,,
21426,,,,,,,17.708118,34.62451,,,,17.158526,,,
21427,,,,,,,,21.35689,,40.097218,39.074043,39.189167,20.25059,,
21428,,,,,,51.876232,40.981068,59.196488,33.911854,41.597028,,,,,
21429,,,,,,36.356543,35.342458,34.179025,35.898198,17.606448,16.241569,,,,
21430,,,,,,,,,,,17.364603,,,,
21431,,,,,,,,,,0.0,0.0,,,,
21432,,,,,,19.879539,56.262457,57.420033,,,76.71672,74.259811,,,
21433,,,,,,33.138685,17.787375,17.227821,,35.506556,16.506878,17.412605,0.0,,
21434,,,,,,18.536466,39.995333,39.821093,38.995795,56.300424,0.0,,,,
21435,,,,,,39.805636,37.244121,37.959016,38.402535,38.685554,20.799303,,,,
21436,,,,,,38.375827,20.330093,42.767965,18.323643,39.749687,40.816263,20.831964,21.015437,,
21437,,,,,,,19.006729,18.845727,,,,,,,
21438,,,,,,0.0,,0.0,0.0,,,,,,
21439,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21440,,,,,,0.0,,,,,,,,,
21441,,,,,,,,58.444123,57.370265,,,,,,
21442,,,,,,17.505531,17.151204,18.256417,,,,,,,
21443,,,,,,18.258814,18.042976,19.386389,18.967716,18.29426,18.170866,,,,
21446,,,,,,37.566538,37.263689,38.078555,37.547842,37.766271,37.927202,,,,
21447,,,,,,77.995978,81.020969,81.51966,52.868202,96.893015,,,,,
21449,,,,,,,,18.090759,57.841663,59.068213,19.460445,,,,
21450,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
21451,,,,,,,,,0.0,0.0,0.0,,,,
21452,,,,,,18.023629,19.763548,17.453386,17.728934,17.846631,,13.651303,,,
21454,,,,,,20.30917,20.307457,20.307743,20.322975,18.255739,0.0,6.849967,,,
21455,,,,,,145.98415,119.340708,125.201609,103.546188,140.02044,146.020649,100.806387,,,
21456,,,,,,18.909104,40.689727,19.319369,39.675533,,,,,,
21457,,,,,,37.729925,37.249205,79.370358,,,,,,,
21458,,,,,,,0.0,19.183764,18.509718,18.68979,60.611316,36.274965,39.180659,,
21459,,,,,,19.722296,19.758077,19.758077,19.722809,19.733013,35.126774,,,,
21460,,,,,,19.293185,18.186824,18.085671,,18.775696,18.673463,,18.672621,,
21461,,,,,,19.55341,56.886865,78.106549,,,,,,,
21462,,,,,,,19.01871,,19.414931,20.718853,17.877146,,,,
21463,,,,,,,16.992238,19.352069,,,,,,,
21465,,,,,,,,,,,17.169723,40.050901,,,
21467,,,,,,20.893958,37.902807,36.921987,38.579645,19.8537,,,,,
21468,,,,,,,,,,20.153592,20.315598,,,,
21469,,,,,,18.901147,,,19.051218,,,,,,
21470,,,,,,51.171431,84.972325,92.266151,72.544253,33.814471,,,,,
21471,,,,,,35.200619,37.413709,40.132817,36.882963,33.785931,,,,,
21472,,,,,,,,,,,,18.01525,,,
21473,,,,,,0.0,0.0,0.0,0.0,,,,,,
21474,,,,,,21.318502,0.0,20.295382,20.674992,20.299826,20.228777,20.795783,0.0,,
21475,,,,,,64.307578,98.330739,41.673518,61.728724,,,,,,
21477,,,,,,39.377721,19.391666,39.705255,40.076631,39.477258,40.368853,19.989425,20.556276,,
21478,,,,,,37.596813,17.278631,15.711249,35.207921,15.712099,32.492907,18.889073,,,
21479,,,,,,59.624582,81.102693,78.776528,59.559886,,,,,,
21480,,,,,,,,35.747927,37.689144,18.173815,,,,,
21482,,,,,,20.501981,19.665729,17.162648,20.389849,19.367167,17.761119,20.216226,18.308717,,
21483,,,,,,0.0,0.0,0.0,,,,,,,
21484,,,,,,18.361463,18.260597,39.207567,39.103322,39.55166,39.154102,58.875051,40.132414,,
21485,,,,,,71.775873,57.479798,70.579377,79.549343,,,,,,
21486,,,,,,,,,18.863819,,,,,,
21487,,,,,,,,,16.369229,,,,,,
21488,,,,,,52.73657,49.578596,53.173217,18.851639,18.424807,,,,,
21489,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21490,,,,,,0.0,0.0,20.615838,,,,,,,
21491,,,,,,0.0,0.0,,,,,,,,
21492,,,,,,16.457218,18.02587,37.886465,,,,,,,
21495,,,,,,20.649913,20.394784,20.556186,20.732916,19.751307,,,,,
21496,,,,,,,0.0,0.0,37.836181,,,,,,
21497,,,,,,0.0,,,39.298309,40.291483,39.463295,,,,
21498,,,,,,,38.11726,35.631285,,,,,,,
21499,,,,,,,,0.0,0.0,0.0,,,,,
21500,,,,,,,41.597925,35.378848,,,,,,,
21501,,,,,,20.248764,17.721619,20.248764,,,,,,,
21502,,,,,,18.260287,19.979034,17.913747,17.832062,,,,,,
21503,,,,,,,39.540126,18.131362,,,,,,,
21504,,,,,,,,,18.421356,18.205331,17.896904,,,,
21505,,,,,,20.983292,18.92709,19.11307,20.606248,38.139097,18.561814,18.608075,,,
21506,,,,,,38.533326,38.489524,38.66589,37.308448,36.997728,18.984547,18.087698,,,
21507,,,,,,82.803307,84.270229,104.08183,104.312022,61.841072,,,,,
21509,,,,,,99.501276,76.448747,97.550744,75.259227,96.580545,58.769182,,,,
21510,,,,,,,,0.0,,,,,,,
21511,,,,,,19.540266,19.727281,19.486226,,19.071989,19.232946,,,,
21512,,,,,,,,,0.0,,,,,,
21513,,,,,,40.519964,42.016107,40.297803,21.916062,,,,,,
21514,,,,,,,40.400392,60.928603,,,,,,,
21515,,,,,,38.610288,19.968461,38.99645,20.147822,40.56242,37.489002,19.415733,19.431812,,
21517,,,,,,19.157063,19.973642,20.860993,,20.941731,20.724252,,,,
21518,,,,,,56.780959,50.612837,52.102118,51.770452,51.981518,,,,,
21519,,,,,,19.906199,39.0065,34.250759,,,,,,,
21520,,,,,,74.580799,75.09978,70.316604,77.856045,74.691776,33.853421,,,,
21522,,,,,,,,,0.0,,,,,,
21523,,,,,,15.9435,17.019402,15.411838,17.603891,17.549609,15.797493,,,,
21524,,,,,,19.741855,20.159771,17.979942,19.184867,0.0,,,,,
21525,,,,,,83.212825,81.770402,83.133929,,,,,,,
21526,,,,,,,16.486996,16.460504,,,,,,,
21527,,,,,,,,61.630165,38.967512,60.371535,19.946455,,,,
21528,,,,,,,,,0.0,22.743949,0.0,0.0,,,
21529,,,,,,18.552594,18.390527,19.094926,19.218259,18.983779,20.167053,19.444756,0.0,,
21530,,,,,,0.0,,,,,,,,,
21532,,,,,,36.931374,37.728124,37.504091,34.915421,38.375837,,,,,
21533,,,,,,,,20.530342,18.404423,19.517515,,,,,
21534,,,,,,,,,,,,0.0,,,
21535,,,,,,36.629835,18.166098,37.010547,17.83998,36.873421,37.32278,,,,
21536,,,,,,17.93105,0.0,16.870178,0.0,17.237903,17.506167,,,,
21537,,,,,,0.0,0.0,0.0,,,,,,,
21538,,,,,,,22.357017,20.348336,21.871346,,,,,,
21539,,,,,,28.743821,0.0,18.889427,18.842381,,,,,,
21540,,,,,,,13.063517,13.063517,34.399261,,,,,,
21541,,,,,,0.0,0.0,0.0,21.068643,61.062089,0.0,,,,
21542,,,,,,0.0,0.0,0.0,19.984779,18.373761,,,,,
21543,,,,,,,,18.930839,,,,,,,
21544,,,,,,,,,,18.725871,17.343731,,,,
21545,,,,,,,19.727381,,,,,,,,
21546,,,,,,19.023489,20.300714,20.674229,,19.82335,,,,,
21547,,,,,,0.0,0.0,0.0,,,,,,,
21548,,,,,,20.296971,,,,,,,,,
21549,,,,,,,0.0,0.0,,,,,,,
21550,,,,,,37.008647,19.366691,38.275157,18.744091,51.801402,,,,,
21551,,,,,,38.589988,38.26111,37.193263,,,,,,,
21552,,,,,,0.0,0.0,0.0,,,,,,,
21553,,,,,,,,,,,,,20.505583,,
21554,,,,,,,,,19.078599,,,,,,
21555,,,,,,,,59.460604,18.525795,,58.600929,36.951754,,,
21556,,,,,,19.777433,19.86787,,19.406003,20.072812,,,,,
21557,,,,,,,35.112025,39.797458,,,,,,,
21558,,,,,,,19.327645,14.877689,,,,,,,
21559,,,,,,60.780419,82.234678,80.785127,121.574622,120.195073,120.603895,,,,
21560,,,,,,17.712396,17.648483,,17.648483,,,,,,
21561,,,,,,,,94.048891,,,,,,,
21562,,,,,,18.636186,,,,,,,,,
21563,,,,,,20.11474,14.920438,36.031352,17.265009,0.0,,,,,
21564,,,,,,,,,22.729164,22.060959,21.443704,18.521159,21.770616,,
21565,,,,,,,,,,,0.0,,,,
21566,,,,,,,,20.651836,21.213915,22.205877,,21.476344,,,
21567,,,,,,,,19.574538,19.470649,19.88698,,19.963174,19.184362,,
21568,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
21569,,,,,,71.539952,90.429469,54.755895,,,,,,,
21570,,,,,,0.0,0.0,0.0,,,,,,,
21571,,,,,,21.049796,,21.066076,,21.188418,21.188485,,,,
21573,,,,,,,,,,,0.0,0.0,,,
21574,,,,,,18.269026,18.353074,17.608851,,,,,,,
21575,,,,,,16.292342,17.367013,,,17.913497,17.040389,,,,
21576,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
21577,,,,,,,,,,,,19.920278,,,
21578,,,,,,0.0,0.0,0.0,,,,,,,
21579,,,,,,,18.254459,18.333917,,,,,,,
21580,,,,,,33.196052,34.769226,19.56572,17.880517,19.475521,19.842623,19.463543,0.0,,
21581,,,,,,21.074996,21.069883,20.477389,20.625989,21.18041,21.302433,,,,
21582,,,,,,15.752723,18.329599,17.908128,,,,,,,
21583,,,,,,,,0.0,,,,,,,
21584,,,,,,36.110424,35.130622,39.685708,38.988674,36.438309,37.91742,,,,
21585,,,,,,,,0.0,39.413794,19.175563,19.421812,18.727676,,,
21586,,,,,,,0.0,0.0,19.031041,40.00072,37.639015,39.783185,,,
21588,,,,,,57.859943,52.824623,35.442292,35.702725,57.610292,57.41533,56.959491,,,
21589,,,,,,,,,18.26305,18.976694,35.572779,18.899285,,,
21590,,,,,,42.217175,38.853231,41.409501,20.066581,0.0,,,,,
21592,,,,,,19.72537,19.476082,42.9801,42.597622,38.627307,0.0,0.0,,,
21593,,,,,,56.498774,55.191788,52.105708,32.291193,,,,,,
21594,,,,,,,,20.443959,20.617243,19.854773,20.70938,,,,
21595,,,,,,73.049945,50.615215,69.565987,,,,0.0,36.886275,,
21596,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
21597,,,,,,16.314277,,36.111989,,,,,,,
21598,,,,,,0.0,0.0,21.866534,22.137179,22.20014,22.007501,,,,
21599,,,,,,,,,17.668686,,,,,,
21600,,,,,,,20.746365,102.049489,79.521862,105.581537,104.501293,104.603263,,,
21601,,,,,,,20.516204,20.225142,20.095297,,,,,,
21602,,,,,,0.0,0.0,0.0,,,,,,,
21603,,,,,,,,44.279603,19.783571,,,,,,
21604,,,,,,33.501208,20.032554,39.54591,56.988516,57.452392,,,,,
21605,,,,,,41.57504,61.735548,61.064975,61.351221,58.266795,37.992059,,,,
21606,,,,,,0.0,0.0,0.0,0.0,21.108796,21.14931,20.857102,21.013662,,
21608,,,,,,,,,,,19.754358,,,,
21610,,,,,,81.376723,39.15776,81.790188,82.037037,,,,,,
21611,,,,,,,,18.0412,17.553387,,,,,,
21612,,,,,,,,,,20.157086,,,,,
21613,,,,,,,,,,0.0,0.0,0.0,0.0,,
21614,,,,,,,,,20.00493,0.0,,,,,
21615,,,,,,15.629387,,,,,,,,,
21617,,,,,,,,17.428981,37.842767,36.454797,,,,,
21618,,,,,,,,,,,,,20.36907,,
21619,,,,,,16.723017,16.753594,16.657644,,,,,,,
21620,,,,,,20.846064,-19.065178,20.588681,20.846623,20.846739,41.317558,40.254331,,,
21621,,,,,,0.0,0.0,20.837171,20.689719,38.804279,37.046406,0.0,,,
21622,,,,,,,,0.0,0.0,,,,,,
21623,,,,,,,,,,0.0,,,,,
21624,,,,,,,0.0,,,,,,0.0,,
21625,,,,,,18.743005,19.122849,18.846743,39.408634,55.670799,18.305622,,,,
21626,,,,,,35.73381,37.004291,39.007132,39.098013,,,,,,
21627,,,,,,95.397035,88.574907,0.0,,,,,,,
21628,,,,,,0.0,0.0,0.0,0.0,,,,,,
21629,,,,,,,,19.748127,21.21456,0.0,0.0,0.0,21.305745,,
21630,,,,,,79.250422,88.828192,92.741907,,,,,,,
21631,,,,,,,,17.715569,18.35672,,,,,,
21632,,,,,,20.019588,19.369422,39.263472,57.031559,74.650305,52.586262,14.839484,,,
21633,,,,,,,,,0.0,0.0,,,,,
21634,,,,,,18.880781,19.153544,,18.830379,,,39.510675,0.0,,
21635,,,,,,,19.485138,17.806759,,,,,,,
21636,,,,,,,,,20.302381,0.0,,,,,
21637,,,,,,36.332963,19.119554,36.296677,35.909286,39.609971,37.867715,38.139519,,,
21638,,,,,,,,21.064374,,,,,,,
21639,,,,,,,,,,,,,0.0,,
21640,,,,,,22.241126,22.275704,22.298392,22.064171,22.152167,42.939315,,,,
21641,,,,,,,,,,40.065784,,,,,
21642,,,,,,,,,,,,18.459866,,,
21645,,,,,,18.721694,37.547379,38.184466,37.968328,38.069668,,,,,
21646,,,,,,19.619867,15.425124,19.620109,15.379017,15.300388,,,,,
21647,,,,,,15.927087,19.097642,40.370799,,,,,,,
21648,,,,,,17.578826,15.991397,18.107985,15.205227,,,,,,
21650,,,,,,61.201737,61.531551,61.988335,20.926454,,,,,,
21652,,,,,,20.653357,20.669405,21.004455,20.755173,,,,,,
21653,,,,,,0.0,,,,,,,,,
21654,,,,,,19.801189,,21.228936,22.545767,22.499077,18.736323,18.594483,,,
21655,,,,,,,,,19.991073,,,,,,
21656,,,,,,17.410407,17.608808,19.794543,0.0,,,,,,
21657,,,,,,38.371634,40.47839,38.371745,,,,,,,
21658,,,,,,,,,,0.0,0.0,0.0,0.0,,
21659,,,,,,,,,,,20.242602,,,,
21660,,,,,,89.157228,86.313406,89.120582,109.510163,90.868141,90.320394,33.889004,,,
21661,,,,,,18.590004,18.671924,18.63951,18.177285,15.634141,17.648932,17.088688,,,
21662,,,,,,18.244287,18.31786,18.253289,,,,,,,
21663,,,,,,19.968128,20.045628,16.774401,,,,,,,
21664,,,,,,38.251659,38.048314,60.800547,,,,,,,
21665,,,,,,34.584969,37.954125,59.174027,36.736913,,,,,,
21666,,,,,,0.0,0.0,19.542421,0.0,17.499912,17.310524,,,,
21667,,,,,,,,53.776665,37.726996,,,,,,
21668,,,,,,17.56288,16.974458,17.967278,,17.668686,16.874612,,,,
21669,,,,,,,0.0,0.0,0.0,,,,,,
21670,,,,,,0.0,,,0.0,19.245922,40.509676,21.252204,,,
21671,,,,,,19.270857,19.640138,18.812462,,,,,,,
21672,,,,,,0.0,0.0,20.558635,19.448028,,,16.091715,,,
21673,,,,,,,,,21.30827,,,,,,
21674,,,,,,74.66764,82.520472,80.695535,,,,,,,
21675,,,,,,18.850492,0.0,19.082459,,,,,,,
21676,,,,,,,,,,21.035416,,,,,
21677,,,,,,52.700269,56.295563,58.357388,55.827041,36.141463,,,,,
21678,,,,,,,0.0,12.21955,,,,,,,
21679,,,,,,16.468904,36.487245,37.670652,,,,,,,
21680,,,,,,75.480623,55.118298,75.219512,38.051116,,,,,,
21681,,,,,,17.951048,36.801696,35.354731,36.780254,36.872275,36.879055,,,,
21682,,,,,,18.329526,18.212729,18.658383,,,,,,,
21683,,,,,,,,,,19.327123,17.996189,,,,
21684,,,,,,0.0,0.0,0.0,19.481247,20.739175,37.148021,37.248094,,,
21685,,,,,,,,,,0.0,0.0,,,,
21686,,,,,,,,,19.681961,19.997558,20.258748,17.678061,,,
21687,,,,,,,,,,,,0.0,,,
21688,,,,,,35.69457,35.526554,32.149529,,,,,,,
21689,,,,,,,,,19.036307,,,,,,
21690,,,,,,16.930415,17.472987,17.597705,16.684009,18.138352,17.656653,,,,
21691,,,,,,37.235989,37.785996,35.336397,,,,,,,
21692,,,,,,16.874037,19.277687,18.544346,18.446045,18.600661,18.605343,0.0,,,
21693,,,,,,0.0,0.0,0.0,,,,,,,
21694,,,,,,17.777253,,17.225176,,,,,,,
21695,,,,,,,,21.360808,19.281968,18.326858,19.803067,,,,
21696,,,,,,,,0.0,,,,,,,
21697,,,,,,0.0,0.0,0.0,0.0,,,,,,
21698,,,,,,40.934794,42.605701,42.403001,42.434689,42.617406,21.329121,,,,
21699,,,,,,36.014698,36.364553,40.132087,,,,,,,
21700,,,,,,,,17.187419,18.552222,40.746375,,,,,
21701,,,,,,13.651303,16.752395,16.965488,17.518746,16.752395,16.17436,16.999255,0.0,,
21702,,,,,,51.746539,56.559818,56.481921,39.935611,38.033897,38.458647,17.559562,,,
21703,,,,,,100.566008,100.885809,101.444983,18.759756,,,,,,
21704,,,,,,,,,20.516944,20.062463,20.304725,20.307743,,,
21706,,,,,,,0.0,0.0,0.0,,,,,,
21707,,,,,,44.095884,41.320803,40.594866,,,,,,,
21708,,,,,,0.0,0.0,9.151598,,,,,,,
21709,,,,,,38.469465,,56.919295,57.538753,,,,,,
21710,,,,,,16.435559,,,,,,,,,
21711,,,,,,19.548047,18.331549,18.514588,0.0,,,,,,
21712,,,,,,,0.0,21.092707,19.871229,41.206039,40.266145,20.630787,,,
21713,,,,,,0.0,0.0,0.0,0.0,,,19.457106,0.0,,
21714,,,,,,18.948513,19.717892,18.592182,39.472151,0.0,,,,,
21715,,,,,,0.0,78.061437,74.748061,79.964732,,,,,,
21716,,,,,,20.241348,19.971137,19.722637,38.161233,40.005378,39.502567,39.746104,16.160269,,
21717,,,,,,,,13.063517,13.063517,13.063517,,,,,
21718,,,,,,18.742472,18.79344,17.710288,,,,,,,
21719,,,,,,17.174684,17.184826,17.889394,19.831694,17.231761,17.241005,,,,
21720,,,,,,39.888574,40.486509,38.883724,59.175179,40.184371,38.952096,80.703317,,,
21721,,,,,,,,18.347308,14.605531,16.742041,,,,,
21722,,,,,,,0.0,,0.0,0.0,,,,,
21723,,,,,,21.587851,21.53519,21.586706,22.649408,0.0,0.0,0.0,,,
21724,,,,,,19.561138,19.547078,18.088448,,,,,,,
21725,,,,,,,,37.724285,,,,,,,
21726,,,,,,18.91044,21.071648,20.564782,,39.745948,,,,,
21727,,,,,,70.175384,73.691424,70.014961,71.015283,71.157142,60.273673,37.306898,20.317927,,
21728,,,,,,16.969963,16.895889,15.584272,0.0,18.266807,18.981941,0.0,,,
21729,,,,,,0.0,39.346168,19.616773,21.189297,37.830427,37.55738,20.138763,,,
21730,,,,,,,,0.0,,0.0,0.0,0.0,,,
21731,,,,,,,,,,21.369108,,,,,
21732,,,,,,20.943231,0.0,19.37595,,,,,,,
21733,,,,,,,,0.0,0.0,,,,,,
21734,,,,,,19.364826,,,,,,,,,
21736,,,,,,17.128156,0.0,19.461371,0.0,,,,,,
21737,,,,,,,,87.79879,,,,,,,
21738,,,,,,18.301552,18.327966,18.491167,,,,,,,
21739,,,,,,0.0,13.534769,0.0,,,,,,,
21740,,,,,,76.256408,81.213682,72.534144,73.638896,75.516518,78.196599,72.609749,39.718451,,
21741,,,,,,34.698728,41.276698,59.329508,135.740077,136.374324,135.810122,112.117036,21.55432,,
21742,,,,,,19.448143,18.804427,18.884316,19.112451,16.440625,,,,,
21744,,,,,,20.673331,20.708416,40.804179,40.427867,,,,,,
21745,,,,,,17.691796,0.0,20.226994,21.131401,0.0,,,,,
21746,,,,,,,,0.0,,,,,,,
21748,,,,,,37.442892,37.802691,37.369527,37.526937,36.949597,38.301168,37.863261,17.904232,,
21749,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21750,,,,,,41.224761,41.35165,41.770655,62.022367,60.329472,61.747844,40.712649,,,
21751,,,,,,,18.738843,19.851525,18.962826,16.915194,18.488368,,18.37469,,
21752,,,,,,,39.054367,55.758989,,,,,,,
21753,,,,,,,,19.041276,19.056978,17.534102,,,,,
21754,,,,,,,19.05498,17.991349,41.622244,19.342412,,,,,
21755,,,,,,16.297871,16.155557,16.11165,15.948204,15.810915,15.847662,0.0,,,
21756,,,,,,99.155101,117.279768,78.730292,,,,,,,
21757,,,,,,,,58.278551,55.105085,57.943438,56.748773,38.417815,,,
21758,,,,,,0.0,16.983308,19.698159,15.134169,0.0,18.293468,,,,
21759,,,,,,74.481172,56.355391,58.268892,,,,,,,
21760,,,,,,,,39.905478,,,,,,,
21761,,,,,,18.361833,,19.029662,,,,,,,
21762,,,,,,38.185868,78.483366,78.411035,78.792439,38.301257,,,,,
21763,,,,,,,19.551738,17.032108,19.225849,19.484812,,,,,
21764,,,,,,18.162161,19.05498,41.114711,39.822799,,,,,,
21765,,,,,,39.588973,39.440181,39.642528,19.974567,,,,,,
21766,,,,,,,,,62.470159,40.197742,78.611897,38.197431,,,
21767,,,,,,18.609091,18.752455,19.053774,19.235024,19.044616,20.173248,16.814665,0.0,,
21768,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
21769,,,,,,17.2971,17.962355,16.128214,18.253613,18.135007,18.772458,,,,
21771,,,,,,0.0,0.0,,,,,,,,
21772,,,,,,,19.132556,38.169214,,,,,,,
21774,,,,,,22.124442,43.342442,43.320215,42.877446,41.566796,21.195034,,,,
21776,,,,,,19.628662,18.819998,58.64694,18.398676,19.995221,,,,,
21777,,,,,,63.519516,41.406457,60.158706,38.118477,,,,,,
21778,,,,,,,,,0.0,,,,,,
21779,,,,,,,,20.689404,20.847589,20.689852,,,,,
21780,,,,,,20.735779,19.50702,19.498771,,,,,,,
21781,,,,,,19.552346,18.912488,18.592436,19.060977,18.733734,18.73558,,,,
21782,,,,,,15.733102,15.844072,,17.210547,16.060047,16.802613,,,,
21783,,,,,,,,,0.0,0.0,,,,,
21784,,,,,,19.848133,0.0,17.408748,,,,,,,
21785,,,,,,16.6701,17.801467,22.284763,17.343122,18.63535,,,,,
21786,,,,,,18.391362,34.081091,18.325957,,,,,,,
21787,,,,,,0.0,0.0,0.0,0.0,22.046311,22.116096,,,,
21789,,,,,,,,35.37151,17.479678,19.434152,19.778144,0.0,0.0,,
21791,,,,,,146.018257,147.28644,124.993096,,,,,,,
21792,,,,,,18.544854,34.958546,38.58453,36.810524,38.986567,19.974559,16.560144,,,
21793,,,,,,,,17.652373,15.957658,,,,,,
21794,,,,,,0.0,18.848441,58.759865,,59.260108,59.629831,38.946114,,,
21795,,,,,,35.023433,38.556617,35.090247,35.6809,35.710376,36.055347,18.431377,19.06266,,
21796,,,,,,19.611585,18.026807,20.116055,18.831005,,,,,,
21797,,,,,,,,,,,0.0,,,,
21798,,,,,,35.914303,35.381626,36.12568,,,,,,,
21799,,,,,,54.469399,54.834025,34.331116,36.600978,37.731984,,,,,
21800,,,,,,37.441582,19.293193,38.82463,60.14168,58.067638,60.22231,18.391391,,,
